Product_Name,Inventory_Value,Sales_Volume,Revenue_90%,Best_Seller
Green Tea,192.0,49.0,352.8,False
Sushi Rice,339.29999999999995,69.0,270.135,False
Egg (Duck),52.0,77.0,69.3,False
Spinach,110.25000000000001,25.0,55.12500000000001,False
Apricot,445.0,49.0,220.5,False
Kiwi,365.4,20.0,104.4,False
Black Rice,306.25,75.0,421.875,False
Green Tea,208.0,92.0,662.4,False
Egg (Quail),74.4,30.0,21.6,False
Papaya,348.3,23.0,89.00999999999999,False
Heavy Cream,296.0,99.0,356.40000000000003,False
Black Tea,95.0,72.0,324.0,False
Short Grain Rice,192.0,48.0,129.6,False
Bell Pepper,220.5,52.0,210.6,False
Parmesan Cheese,1188.0,69.0,745.2,False
Buttermilk,147.0,42.0,92.61000000000001,False
Cabbage,81.0,52.0,42.120000000000005,False
Haddock,711.0,45.0,364.5,False
Egg (Chicken),4.4,33.0,5.94,False
Brown Rice,127.5,53.0,119.25,False
Arabica Coffee,1300.0,28.0,504.0,False
Whipped Cream,220.0,69.0,248.4,False
White Rice,32.4,64.0,103.68,False
Parmesan Cheese,444.0,39.0,421.2,False
Salmon,1320.0,96.0,1296.0,False
Pineapple,70.0,80.0,252.0,False
Bread Flour,148.5,80.0,108.0,False
Asparagus,220.79999999999998,59.0,254.88,False
Wild Rice,190.0,62.0,558.0,False
Yogurt,21.0,22.0,34.65,False
Buttermilk,175.95,29.0,66.55499999999999,False
Egg (Duck),63.0,23.0,20.7,False
Asparagus,366.6,25.0,105.75,False
White Bread,180.0,87.0,195.75,False
Wild Rice,580.0,75.0,675.0,False
Egg (Goose),220.0,54.0,121.5,False
White Rice,97.2,94.0,152.28000000000003,False
Powdered Sugar,160.0,97.0,218.25,False
Milk,12.0,31.0,27.900000000000002,False
Mango,317.2,74.0,346.32,False
Oatmeal Biscuit,140.0,28.0,126.0,False
Spinach,57.5,95.0,213.75,False
Blueberries,870.0,55.0,495.0,False
Robusta Coffee,590.0,48.0,432.0,False
Watermelon,39.0,100.0,270.0,False
Pomegranate,486.0,94.0,507.6,False
White Bread,152.5,51.0,114.75,False
Carrot,120.0,81.0,109.35000000000001,False
Brown Rice,97.5,77.0,173.25,False
Cabbage,4591.95,36.0,2156.22,False
Egg (Goose),150.0,77.0,173.25,False
Sour Cream,90.19999999999999,45.0,166.04999999999998,False
Almond Flour,750.5,83.0,709.65,False
Broccoli,188.0,76.0,273.6,False
Jasmine Rice,95.0,78.0,333.45,False
Gouda Cheese,287.0,86.0,541.8000000000001,False
Tilapia,322.0,62.0,390.6,False
Palm Oil,120.60000000000001,78.0,126.36000000000001,False
Arborio Rice,229.5,73.0,295.65000000000003,False
White Sugar,84.0,80.0,144.0,False
Sesame Oil,552.5,78.0,456.3,False
Sunflower Oil,57.5,91.0,204.75,False
Bell Pepper,378.0,46.0,186.3,False
Greek Yogurt,1192.24,48.0,1839.456,False
White Bread,155.0,42.0,94.5,False
Egg (Goose),162.5,66.0,148.5,False
Lime,36.0,54.0,97.2,False
Egg (Chicken),14.0,62.0,11.16,False
Vegetable Oil,46.0,63.0,113.4,False
Jasmine Rice,123.5,75.0,320.625,False
Robusta Coffee,200.0,72.0,648.0,False
Mozzarella Cheese,396.0,48.0,311.04,False
Whole Wheat Flour,225.5,26.0,64.35000000000001,False
Salmon,1095.0,89.0,1201.5,False
White Tea,2025.0,74.0,1665.0,False
Onion,40.0,51.0,91.8,False
Black Coffee,1170.0,54.0,729.0,False
Butter Biscuit,504.0,51.0,275.40000000000003,False
Corn Oil,80.0,52.0,117.0,False
Coconut Oil,450.0,55.0,247.5,False
Evaporated Milk,140.0,24.0,43.2,False
Bell Pepper,405.0,81.0,328.05,False
Lettuce,200.0,26.0,46.800000000000004,False
Brown Rice,222.5,64.0,144.0,False
Whole Wheat Flour,102.60000000000001,34.0,82.62000000000002,False
Rye Bread,183.0,71.0,191.70000000000002,False
Orange,225.0,96.0,259.2,False
Multigrain Bread,278.40000000000003,73.0,210.24000000000004,False
Bread Flour,106.5,34.0,45.9,False
Haddock,882.0,53.0,429.3,False
Green Beans,38.0,51.0,91.8,False
Coconut,425.0,61.0,274.5,False
Apple,248.5,87.0,274.05,False
Brown Rice,110.0,67.0,150.75,False
Rice Flour,50.0,24.0,43.2,False
Peanut Oil,96.0,98.0,352.8,False
Anchovies,440.0,80.0,720.0,False
Powdered Sugar,157.5,40.0,90.0,False
Palm Oil,124.2,63.0,102.06,False
Tuna,1584.0,28.0,453.6,False
Robusta Coffee,740.0,37.0,333.0,False
Bell Pepper,441.0,86.0,348.3,False
Egg (Chicken),4.4,88.0,15.840000000000002,False
Apricot,275.0,23.0,103.5,False
Ricotta Cheese,585.5999999999999,94.0,516.06,False
Feta Cheese,637.0,32.0,201.6,False
Digestive Biscuit,160.0,28.0,100.8,False
Salmon,780.0,43.0,580.5,False
Lettuce,44.0,62.0,111.60000000000001,False
Black Rice,622.3,70.0,400.05,False
Whole Wheat Flour,162.25,32.0,79.2,False
Chocolate Biscuit,495.0,65.0,292.5,False
Black Tea,95.39999999999999,65.0,310.05,False
Watermelon,174.0,71.0,191.70000000000002,False
Black Rice,189.0,61.0,345.87,False
Papaya,436.5,53.0,214.65,False
Egg (Goose),122.50000000000001,78.0,171.99000000000004,False
Cheddar Cheese,630.0,63.0,510.3,False
Blueberries,400.0,76.0,684.0,False
Corn Oil,187.5,100.0,225.0,False
Strawberries,156.0,94.0,507.6,False
Arabica Coffee,260.0,67.0,1206.0,False
Plum,44.0,99.0,356.40000000000003,False
Salmon,1470.0,21.0,283.5,False
Broccoli,140.0,90.0,324.0,False
Mackerel,337.5,35.0,236.25,False
Kale,188.0,26.0,93.60000000000001,False
Sesame Oil,578.5,39.0,228.15,False
Black Coffee,495.0,96.0,1296.0,False
Apricot,450.0,76.0,342.0,False
Jasmine Rice,209.0,63.0,269.325,False
Wild Rice,399.75,93.0,816.075,False
Potato,86.39999999999999,96.0,103.67999999999999,False
Egg (Goose),172.79999999999998,36.0,77.75999999999999,False
Black Coffee,600.0,33.0,445.5,False
Whole Wheat Bread,126.0,67.0,211.05,False
Vegetable Oil,102.0,24.0,43.2,False
Black Coffee,1296.3,90.0,1206.9,False
Pear,355.5,33.0,133.65,False
Tilapia,95.2,64.0,391.68,False
Orange,243.0,86.0,232.20000000000002,False
Lime,150.0,32.0,57.6,False
Gouda Cheese,336.0,59.0,371.7,False
Onion,100.0,40.0,72.0,False
Haddock,99.0,86.0,696.6,False
Almond Flour,703.0,24.0,205.20000000000002,False
Tomato,27.5,93.0,209.25,False
Heavy Cream,340.0,95.0,342.0,False
Cauliflower,142.5,87.0,195.75,False
Lime,142.5,63.0,107.72999999999999,False
Egg (Turkey),148.05,78.0,164.97000000000003,False
White Tea,883.75,53.0,1204.425,False
Cabbage,24.0,55.0,49.5,False
Jasmine Rice,251.75,100.0,427.5,False
Butter Biscuit,444.0,51.0,275.40000000000003,False
Brown Rice,197.5,43.0,96.75,False
Bread Flour,81.0,41.0,55.35,False
Palm Oil,79.2,46.0,74.52,False
Almond Flour,731.5,27.0,230.85,False
Apricot,210.0,86.0,387.0,False
Sweet Potato,88.0,89.0,160.20000000000002,False
Sour Cream,324.0,68.0,244.8,False
Black Rice,575.0,38.0,213.75,False
Salmon,1170.0,47.0,634.5,False
Heavy Cream,357.0,65.0,245.70000000000002,False
Pomegranate,390.0,80.0,432.0,False
Olive Oil,216.0,74.0,399.6,False
Potato,31.2,84.0,90.72,False
Sunflower Oil,97.5,84.0,189.0,False
White Sugar,78.0,73.0,131.4,False
Cabbage,83.0,35.0,31.5,False
Cucumber,50.4,33.0,53.46,False
Tuna,1530.0,92.0,1490.4,False
Lime,152.0,77.0,138.6,False
Tomato,250.0,84.0,189.0,False
Pomegranate,102.0,37.0,199.8,False
Anchovies,510.0,80.0,720.0,False
Grapes,297.0,81.0,400.95,False
Sourdough Bread,376.0,47.0,169.20000000000002,False
Asparagus,170.0,41.0,184.5,False
Herbal Tea,810.0,34.0,918.0,False
All-Purpose Flour,87.5,87.0,137.025,False
Almond Flour,807.5,26.0,222.3,False
Rice Flour,48.0,98.0,176.4,False
Halibut,1640.0,66.0,1188.0,False
Apple,59.5,36.0,113.4,False
Canola Oil,57.49999999999999,72.0,149.04,False
Tilapia,392.0,65.0,409.5,False
Evaporated Milk,144.0,52.0,93.60000000000001,False
Mushrooms,409.5,54.0,306.18,False
Grapes,165.0,63.0,311.85,False
Onion,78.0,25.0,45.0,False
Pineapple,49.0,74.0,233.1,False
Carrot,111.0,91.0,122.85000000000001,False
Parmesan Cheese,749.7,37.0,396.27000000000004,False
Peach,188.0,36.0,129.6,False
Egg (Turkey),105.0,61.0,137.25,False
Tomato,80.0,80.0,180.0,False
Lettuce,176.0,25.0,45.0,False
Yogurt,140.0,41.0,64.575,False
Orange,108.0,25.0,67.5,False
Bread Flour,16.5,77.0,103.95,False
Peach,160.0,92.0,331.2,False
Bread Flour,94.5,55.0,74.25,False
Raw Sugar,135.0,80.0,108.0,False
Multigrain Bread,152.75,30.0,87.75,False
Digestive Biscuit,116.0,80.0,288.0,False
Peach,376.0,24.0,86.4,False
Mango,156.8,84.0,370.44000000000005,False
Plum,160.0,45.0,162.0,False
Egg (Goose),125.0,76.0,171.0,False
Cod,576.0,54.0,388.8,False
Pomegranate,132.0,41.0,221.4,False
Chocolate Biscuit,115.0,97.0,436.5,False
Halibut,700.0,74.0,1332.0,False
Cucumber,21.0,45.0,70.875,False
Cheddar Cheese,774.0,100.0,810.0,False
Mackerel,682.5,90.0,607.5,False
Evaporated Milk,46.0,68.0,122.4,False
Onion,196.0,46.0,82.8,False
Cherry,232.0,74.0,532.8000000000001,False
Coconut,160.0,38.0,171.0,False
Pear,378.0,64.0,259.2,False
Yogurt,150.5,83.0,130.725,False
Black Rice,68.2,49.0,273.42,False
Whole Wheat Flour,165.0,51.0,126.22500000000001,False
Whole Wheat Bread,203.0,98.0,308.7,False
Ricotta Cheese,384.0,55.0,297.0,False
Canola Oil,43.699999999999996,33.0,68.30999999999999,False
Cherry,344.0,27.0,194.4,False
Peanut Oil,152.0,41.0,147.6,False
Buttermilk,175.0,47.0,105.75,False
Asparagus,90.0,58.0,261.0,False
Brown Rice,115.0,48.0,108.0,False
Arabica Coffee,1599.0,62.0,1143.9,False
Canola Oil,121.89999999999999,83.0,171.80999999999997,False
Haddock,603.0,76.0,615.6,False
Egg (Chicken),7.2,68.0,12.240000000000002,False
Whole Wheat Flour,107.25,92.0,227.70000000000002,False
Sweet Potato,190.0,61.0,109.8,False
Almond Flour,114.0,56.0,478.8,False
Wild Rice,980.0,31.0,279.0,False
Jasmine Rice,237.5,52.0,222.3,False
Zucchini,245.0,48.0,108.0,False
Corn Oil,70.0,32.0,72.0,False
Cucumber,120.60000000000001,81.0,131.22000000000003,False
Onion,40.0,23.0,41.4,False
Trout,777.1999999999999,66.0,689.0400000000001,False
Egg (Quail),75.2,100.0,72.0,False
Black Tea,225.0,90.0,405.0,False
Anchovies,860.0,37.0,333.0,False
Wild Rice,702.0,51.0,447.52500000000003,False
Green Beans,65.10000000000001,55.0,103.95,False
Butter Biscuit,72.0,72.0,388.8,False
Gouda Cheese,497.0,77.0,485.1,False
Anchovies,640.0,49.0,441.0,False
Coconut Oil,445.0,91.0,409.5,False
Sesame Oil,325.0,53.0,310.05,False
Mango,265.0,41.0,184.5,False
Haddock,171.0,29.0,234.9,False
Broccoli,356.0,93.0,334.8,False
Cod,768.0,97.0,698.4,False
Parmesan Cheese,624.0,31.0,334.8,False
Sesame Oil,630.5,51.0,298.35,False
Halibut,1760.0,92.0,1656.0,False
Jasmine Rice,156.75,93.0,397.575,False
Jasmine Rice,465.5,51.0,218.025,False
Peach,180.0,84.0,302.40000000000003,False
White Rice,144.0,46.0,74.52,False
Halibut,1360.0,75.0,1350.0,False
Apricot,450.0,34.0,153.0,False
Trout,1068.0,96.0,1036.8,False
Cucumber,68.4,89.0,144.18,False
Green Beans,207.9,46.0,86.94000000000001,False
Powdered Sugar,158.4,30.0,64.8,False
Pomegranate,396.0,85.0,459.0,False
Bread Flour,96.0,33.0,44.550000000000004,False
Black Rice,108.0,85.0,459.0,False
Whole Wheat Flour,236.5,52.0,128.70000000000002,False
Black Tea,164.5,39.0,164.97000000000003,False
Green Beans,52.0,36.0,64.8,False
Parmesan Cheese,960.0,100.0,1080.0,False
Zucchini,157.5,35.0,78.75,False
Vanilla Biscuit,489.5,83.0,410.85,False
Sweet Potato,160.0,98.0,176.4,False
Vegetable Oil,82.0,55.0,99.0,False
Chocolate Biscuit,265.0,82.0,369.0,False
Haddock,549.0,34.0,275.40000000000003,False
Egg (Duck),70.0,95.0,85.5,False
Mango,365.0,50.0,225.0,False
Kale,240.0,21.0,75.60000000000001,False
Pomegranate,528.0,72.0,388.8,False
Cauliflower,237.5,49.0,110.25,False
Powdered Sugar,117.5,22.0,49.5,False
Mozzarella Cheese,168.0,58.0,365.40000000000003,False
Anchovies,930.0,81.0,729.0,False
Sunflower Oil,200.0,98.0,220.5,False
Apple,269.5,63.0,198.45000000000002,False
Green Beans,84.0,39.0,70.2,False
Egg (Turkey),230.0,78.0,175.5,False
Mushrooms,506.25,92.0,517.5,False
Jasmine Rice,218.5,36.0,153.9,False
Brown Rice,110.0,44.0,99.0,False
Multigrain Bread,133.0,45.0,141.75,False
Evaporated Milk,128.0,74.0,133.20000000000002,False
Long Grain Rice,56.55,20.0,26.1,False
White Bread,105.0,67.0,150.75,False
White Sugar,58.0,58.0,104.4,False
Cucumber,108.0,74.0,119.88000000000002,False
Parmesan Cheese,780.0,69.0,745.2,False
Bell Pepper,400.5,38.0,153.9,False
Corn Oil,125.0,28.0,63.0,False
Bell Pepper,423.0,44.0,178.20000000000002,False
Canola Oil,223.1,82.0,169.74,False
Digestive Biscuit,288.0,85.0,306.0,False
Cream,155.0,41.0,92.25,False
Apple,154.0,41.0,129.15,False
Peanut Oil,84.0,79.0,284.40000000000003,False
Coconut Sugar,455.0,48.0,216.0,False
Tuna,1566.0,22.0,356.40000000000003,False
Spinach,153.72,31.0,70.308,False
Carrot,91.5,26.0,35.1,False
Sweet Potato,98.0,97.0,174.6,False
Lemon,217.5,61.0,137.25,False
Multigrain Bread,302.25,56.0,163.8,False
Basmati Rice,244.75,37.0,148.185,False
Sour Cream,116.0,23.0,82.8,False
Egg (Chicken),12.600000000000001,67.0,12.06,False
Potato,50.4,43.0,46.440000000000005,False
Onion,148.0,97.0,174.6,False
Short Grain Rice,66.0,68.0,183.6,False
Egg (Chicken),16.6,94.0,16.92,False
Wild Rice,320.0,69.0,621.0,False
Apple,294.0,66.0,207.9,False
Plum,88.0,70.0,252.0,False
Peas,300.0,86.0,232.20000000000002,False
Cheddar Cheese,324.0,30.0,243.0,False
Halibut,280.0,71.0,1278.0,False
White Sugar,76.0,52.0,93.60000000000001,False
Eggplant,291.0,22.0,59.4,False
Green Tea,512.0,25.0,180.0,False
Lime,26.599999999999998,100.0,171.0,False
Avocado Oil,240.0,99.0,891.0,False
Tilapia,700.0,85.0,535.5,False
Jasmine Rice,294.5,31.0,132.525,False
Basmati Rice,319.5,60.0,243.0,False
Parmesan Cheese,456.0,35.0,378.0,False
Powdered Sugar,211.2,95.0,205.20000000000002,False
Sourdough Bread,180.0,54.0,218.70000000000002,False
Spinach,220.0,58.0,130.5,False
Cheddar Cheese,540.0,95.0,769.5,False
Cabbage,84.60000000000001,98.0,79.38000000000001,False
Avocado Oil,300.0,22.0,198.0,False
Papaya,85.5,91.0,368.55,False
